,smiles,mols,molweight,densmorgan1,densmorgan2,densmorgan3,hatommolwt,maxabspartcharge,maxpartcharge,minabspc,minpartcahrge,molwt,numrade,numval
0,C(CNCCNCCNCCN)N,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26300>,189.19534573599998,0.5384615384615384,0.8461538461538461,1.1538461538461537,166.123,0.32920809023778697,0.007722975306620753,0.007722975306620753,-0.32920809023778697,189.307,0,80
1,CC(C)(C)C1=CC(=C(C=C1NC(=O)C2=CNC3=CC=CC=C3C2=O)O)C(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26260>,392.2099927559999,0.9655172413793104,1.5862068965517242,2.206896551724138,364.27500000000015,0.5075728408738479,0.2606573394970573,0.2606573394970573,-0.5075728408738479,392.4990000000002,0,152
2,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26210>,310.22966558,1.391304347826087,2.217391304347826,2.9565217391304346,280.241,0.3770102921795535,0.1308962363846941,0.1308962363846941,-0.3770102921795535,310.48100000000005,0,124
3,CCC12CC(=C)C3C(C1CC[C@]2(C#C)O)CCC4=CC(=O)CCC34,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F261C0>,324.208930136,1.375,2.1666666666666665,2.875,296.24,0.37701029217955345,0.15517679153364017,0.15517679153364017,-0.37701029217955345,324.46400000000006,0,128
4,C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26170>,254.105527688,1.105263157894737,1.736842105263158,2.473684210526316,240.17699999999996,0.38798931020663047,0.32340214060863115,0.32340214060863115,-0.38798931020663047,254.289,0,96
5,CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CO)CC(C)C)CC3=CC=C(C=C3)O)CCC(=O)N)CC(C)C)CCC(=O)O)CC(=O)N)CC4=CC=C(C=C4)O)C(=O)NCC(=O)O)C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC5=CC=CC=C5)C(=O)N[C@@H](CC6=CC=CC=C6)C(=O)N[C@@H](CC7=CC=C(C=C7)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N8CCC[C@H]8C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C)CC(C)C)CC9=CC=C(C=C9)O)CC(C)C)C)CCC(=O)O)C(C)C)CC(C)C)CC2=CN=CN2)CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CO)[C@@H](C)O)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H]([C@@H](C)CC)NC(=O)CN,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26120>,6058.818407288005,0.2222222222222222,0.508274231678487,0.8912529550827423,5655.765000000009,0.5079666451556014,0.3256966927031685,0.3256966927031685,-0.5079666451556014,6062.996999999995,0,2336
6,CC1CC2C3CCC4=CC(=O)C=CC4([C@]3(C(CC2([C@]1(C(=O)CCl)O)C)O)F)C,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F260D0>,410.16601527599994,1.3571428571428572,2.0357142857142856,2.6785714285714284,382.689,0.3897124158861621,0.17934787082711218,0.17934787082711218,-0.3897124158861621,410.91300000000007,0,154
7,CCCCCCOC(=O)N=C(C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4)N,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26080>,627.316917412,0.9782608695652174,1.7608695652173914,2.4782608695652173,586.4180000000001,0.4659201434560122,0.43506339093814245,0.43506339093814245,-0.4659201434560122,627.7460000000002,0,242
8,CSCCC(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)N,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26030>,1142.3507389039999,0.5897435897435898,1.0769230769230769,1.6538461538461537,1080.7939999999999,0.4811762161978393,0.44597470196214606,0.44597470196214606,-0.4811762161978393,1143.2900000000004,0,422
9,C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)N)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N,<rdkit.Chem.rdchem.Mol object at 0x000001CBE0F26760>,1083.4378545199997,0.7066666666666667,1.28,1.8933333333333333,1018.7329999999992,0.5079666451556014,0.24622360871003382,0.24622360871003382,-0.5079666451556014,1084.2529999999992,0,408
